"marca","modelo","emplacados","acumulado_anual","data"
"HYUNDAI","CRETA","5335","18935","2024-04-02"
"GM","TRACKER","5670","18335","2024-04-02"
"NISSAN","KICKS","4582","17596","2024-04-02"
"VW","NIVUS","5259","15962","2024-04-02"
"JEEP","COMPASS","3914","15550","2024-04-02"
"JEEP","RENEGADE","4382","14784","2024-04-02"
"FIAT","FASTBACK","3885","14589","2024-04-02"
"HONDA","HR-V","4285","13991","2024-04-02"
"TOYOTA","COROLLA_CROSS","3754","13041","2024-04-02"
"FIAT","PULSE","3539","12062","2024-04-02"
"CAOA_CHERY","TIGGO_5X","2731","9165","2024-04-02"
"RENAULT","DUSTER","2070","7616","2024-04-02"
"BYD","SONG_PLUS","1699","6569","2024-04-02"
"CAOA_CHERY","TIGGO_7","3026","5880","2024-04-02"
"GWM","HAVAL_H6","1609","5452","2024-04-02"
"TOYOTA","HILUX_SW4","1561","5115","2024-04-02"
"JEEP","COMMANDER","1093","4310","2024-04-02"
"VW","TAOS","795","3887","2024-04-02"
"CAOA_CHERY","TIGGO_8","697","2993","2024-04-02"
"MITSUBISHI","ECLIPSE_CROSS","723","2491","2024-04-02"
"RENAULT","KARDIAN","1581","2235","2024-04-02"
"CITROEN","C3_AIRCROSS","1120","2053","2024-04-02"
"HONDA","ZR-V","544","1949","2024-04-02"
"FORD","TERRITORY","431","1614","2024-04-02"
"BMW","X1","339","1457","2024-04-02"
"VW","TIGUAN","349","1261","2024-04-02"
"VOLVO","XC60","204","937","2024-04-02"
"BYD","YUAN_PLUS","196","919","2024-04-02"
"GM","EQUINOX","233","847","2024-04-02"
"AUDI","Q3","215","760","2024-04-02"
"FORD","BRONCO","175","754","2024-04-02"
"TOYOTA","RAV4","215","724","2024-04-02"
"MITSUBISHI","PAJERO","200","637","2024-04-02"
"PEUGEOT","2008","245","606","2024-04-02"
"CITROEN","C4_CACTUS","121","584","2024-04-02"
"LAND_ROVER","DISCOVERY","131","560","2024-04-02"
"AUDI","Q5","122","547","2024-04-02"
"PORSCHE","MACAN","122","439","2024-04-02"
"GM","TRAILBLAZER","240","428","2024-04-02"
"FIAT","MOBI","6148","26233","2024-05-02"
"RENAULT","KWID","2797","21116","2024-05-02"
"VW","GOL","3","28","2024-05-02"
"FIAT","UNO","1","7","2024-05-02"
"VW","UP","0","3","2024-05-02"
"FIAT","PALIO","0","2","2024-05-02"
"GM","CHEVETTE","1","2","2024-05-02"
"GM","CELTA","1","1","2024-05-02"
"TOYOTA","ETIOS_HB","1","1","2024-05-02"
"VW","POLO","8484","48181","2024-05-02"
"GM","ONIX","7901","34752","2024-05-02"
"HYUNDAI","HB20","6691","32938","2024-05-02"
"FIAT","ARGO","5552","32204","2024-05-02"
"TOYOTA","YARIS_HB","1757","9979","2024-05-02"
"CITROEN","C3","1580","8146","2024-05-02"
"BYD","DOLPHIN","1145","8095","2024-05-02"
"BYD","DOLPHIN_MINI","2104","7734","2024-05-02"
"PEUGEOT","208","1531","7505","2024-05-02"
"HONDA","CITY_HATCH","957","4442","2024-05-02"
"GWM","ORA_03","534","3098","2024-05-02"
"RENAULT","SANDERO","280","1878","2024-05-02"
"GM","CRUZE_HB","19","161","2024-05-02"
"AUDI","A3","29","159","2024-05-02"
"HONDA","CIVIC_TYPE-R","3","38","2024-05-02"
"MBENZ","CLASSE_A","7","26","2024-05-02"
"NISSAN","LEAF","1","26","2024-05-02"
"BMW","118i","4","25","2024-05-02"
"FIAT","CRONOS","3494","13363","2024-05-02"
"HYUNDAI","HB20S","3130","10322","2024-05-02"
"RENAULT","LOGAN","85","1181","2024-05-02"
"VW","VOYAGE","1","5","2024-05-02"
"FIAT","SIENA","1","3","2024-05-02"
"FORD","KA_SEDAN","0","1","2024-05-02"
"GM","PRISMA","0","1","2024-05-02"
"GM","ONIX_PLUS","5517","23369","2024-05-02"
"VW","VIRTUS","2045","12426","2024-05-02"
"TOYOTA","YARIS_SEDAN","1449","7684","2024-05-02"
"HONDA","CITY","1058","4857","2024-05-02"
"NISSAN","VERSA","699","4676","2024-05-02"
"VW","POLO_SEDAN","0","1","2024-05-02"
"TOYOTA","COROLLA","2400","13313","2024-05-02"
"NISSAN","SENTRA","497","2039","2024-05-02"
"BYD","SEAL","213","1910","2024-05-02"
"VW","JETTA","236","1279","2024-05-02"
"GM","CRUZE_SEDAN","84","678","2024-05-02"
"HONDA","CIVIC","113","591","2024-05-02"
"MBENZ","CLA200","65","186","2024-05-02"
