marca,modelo,emplacados,acumulado_anual,data
VOLVO,XC60,504,1279,2023-12-2
CAOA_CHERY,TIGGO_7,475,1222,2023-12-2
CITROEN,C4_CACTUS,564,1106,2023-12-2
CAOA_CHERY,TIGGO_5X,479,1065,2023-12-2
GM,EQUINOX,342,927,2023-12-2
MITSUBISHI,ECLIPSE_CROSS,258,707,2023-12-2
VOLVO,XC40,117,453,2023-12-2
PEUGEOT,2008,182,431,2023-12-2
AUDI,Q5,201,425,2023-12-2
MITSUBISHI,PAJERO,155,417,2023-12-2
PORSCHE,MACAN,228,405,2023-12-2
PORSCHE,CAYENNE,195,384,2023-12-2
BYD,SONG_PLUS,205,383,2023-12-2
GM,TRAILBLAZER,210,361,2023-12-2
AUDI,Q3,150,348,2023-12-2
LAND_ROVER,DISCOVERY,202,312,2023-12-2
MBENZ,CLASSE_GLB,147,301,2023-12-2
BMW,X1,245,292,2023-12-2
MBENZ,CLASSE_GLA,139,289,2023-12-2
TOYOTA,RAV4,176,285,2023-12-2
FORD,TERRITORY,144,279,2023-12-2
KIA,STONIC,116,272,2023-12-2
SUZUKI,JIMNY_SIERRA,105,270,2023-12-2
VOLVO,XC90,120,263,2023-12-2
FIAT,MOBI,4686,19352,2023-12-2
RENAULT,KWID,4152,17989,2023-12-2
VW,GOL,318,5618,2023-12-2
VW,FUSCA,8,36,2023-12-2
FIAT,UNO,1,14,2023-12-2
VW,UP,0,3,2023-12-2
FIAT,PALIO,0,2,2023-12-2
GM,CHEVETTE,1,2,2023-12-2
FIAT,147,0,1,2023-12-2
GM,ONIX,7376,28902,2023-12-2
HYUNDAI,HB20,7143,23337,2023-12-2
FIAT,ARGO,5475,20463,2023-12-2
VW,POLO,6063,20137,2023-12-2
TOYOTA,YARIS_HB,1818,7482,2023-12-2
CITROEN,C3,1965,6801,2023-12-2
PEUGEOT,208,1901,6365,2023-12-2
HONDA,CITY_HATCH,867,4881,2023-12-2
RENAULT,SANDERO,419,1957,2023-12-2
